ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,8,18,176,182,7,7,provisional,138.764038,1.7348505555910094,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.60011044440898,0.2126319682678387,6.402035303665037,6,1.0670058839441727,0.2158180195595758,182
0,8,19,176,182,7,7,provisional,135.708664,0.7917817314882143,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.92629726851177,0.20466594331141869,4.616797119832615,6,0.7694661866387692,0.21050845952180666,182
0,8,20,176,182,7,7,provisional,139.77446,2.00843473912758,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.8095732608724,0.20525061832000197,6.24778541813423,6,1.0412975696890383,0.21851618784233415,182
0,8,21,176,182,7,7,provisional,137.431595,0.7806693507624516,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.50033535076244,0.20970065602816373,5.238913382738734,6,0.8731522304564557,0.21272776273049024,181
0,8,22,176,182,7,7,provisional,141.077057,1.3177660948563812,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,141.1461810948564,0.21807206812208343,6.174190207184415,6,1.0290317011974024,0.226092694139541,181
0,8,23,176,182,7,7,provisional,136.759171,2.20797253876907,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.60825653876907,0.20252926384617126,9.855691727058352,6,1.6426152878430587,0.2085103460085967,181
0,8,24,176,182,7,7,provisional,135.932938,0.9823201649921316,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.85669416499212,0.20337876331483154,7.371681088156236,6,1.228613514692706,0.21685589439837416,182
0,8,25,176,182,7,7,provisional,133.345703,1.7907364421585044,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.3673354421585,0.20435995105179702,8.467054003594953,6,1.4111756672658256,0.2208394606931014,181
0,8,26,176,182,7,7,provisional,135.16713,1.1929953339633244,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.2899803339633,0.2061643937125586,7.736122699013513,6,1.2893537831689188,0.20469776723816685,181
0,8,27,176,182,7,7,provisional,133.928574,1.1996217020255244,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.49556570202552,0.2033900275942849,20.75269227359492,6,3.4587820455991536,0.21928334925790405,182
0,8,28,176,182,7,7,provisional,132.932495,0.5623612414608488,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.04537824146084,0.21707256912758985,3.009611314309768,6,0.5016018857182947,0.21426957915839792,181
